Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
5.39,2.07202e+00
5.40,3.29363e+00
5.41,3.12144e+00
5.42,2.05257e+00
5.43,2.04823e+00
5.44,2.04689e+00
5.45,2.11515e+00
5.46,2.07947e+00
5.47,2.05603e+00
5.48,2.06302e+00
5.49,2.07092e+00
5.50,2.08459e+00
5.51,2.10586e+00
5.52,2.09625e+00
5.53,2.10733e+00
5.54,2.17047e+00
5.55,2.16538e+00
5.56,2.26827e+00
5.57,2.17981e+00
5.58,2.13915e+00
5.59,2.14825e+00
5.60,2.20554e+00
5.61,2.20940e+00
5.62,2.16967e+00
5.63,2.18095e+00
5.64,2.18761e+00
5.65,2.19051e+00
5.66,2.20393e+00
5.67,3.11962e+00
5.68,7.58823e+00
5.69,3.71028e+00
5.70,2.25395e+00
5.71,2.23314e+00
5.72,2.24066e+00
5.73,2.29356e+00
5.74,2.42307e+00
5.75,2.29167e+00
5.76,2.27763e+00
5.77,2.33100e+00
5.78,2.30335e+00
5.79,2.32085e+00
5.80,2.40189e+00
5.81,2.64744e+00
5.82,2.55203e+00
5.83,2.33340e+00
5.84,2.32964e+00
5.85,2.35881e+00
5.86,2.35474e+00
5.87,2.34839e+00
5.88,2.35957e+00
5.89,2.36285e+00
5.90,2.36747e+00
5.91,2.37419e+00
5.92,2.38152e+00
5.93,2.38819e+00
5.94,2.39438e+00
5.95,2.39142e+00
5.96,2.39823e+00
5.97,2.40505e+00
5.98,2.41204e+00
5.99,2.41877e+00
6.00,2.42539e+00
6.01,2.43215e+00
6.02,2.43958e+00
6.03,2.45120e+00
6.04,2.51111e+00
6.05,2.92048e+00
6.06,2.73244e+00
6.07,2.48427e+00
6.08,2.47974e+00
6.09,2.48773e+00
6.10,2.50271e+00
6.11,2.50451e+00
6.12,2.50579e+00
6.13,2.51248e+00
6.14,2.51909e+00
6.15,2.52714e+00
6.16,2.58741e+00
6.17,3.90498e+00
6.18,8.04835e+00
6.19,5.30549e+00
6.20,2.81954e+00
6.21,2.60225e+00
6.22,2.60691e+00
6.23,2.65002e+00
6.24,2.64992e+00
6.25,2.68243e+00
6.26,2.75020e+00
6.27,2.74342e+00
6.28,2.62558e+00
6.29,2.61979e+00
6.30,2.68294e+00
6.31,3.18286e+00
6.32,3.04380e+00
6.33,2.65104e+00
6.34,2.63626e+00
6.35,2.64139e+00
6.36,2.64618e+00
6.37,2.64918e+00
6.38,2.66331e+00
6.39,2.67071e+00
6.40,2.66632e+00
6.41,2.67118e+00
6.42,2.67741e+00
6.43,2.68487e+00
6.44,2.69354e+00
6.45,2.69891e+00
6.46,2.70238e+00
6.47,2.70847e+00
6.48,2.72101e+00
6.49,2.73368e+00
6.50,2.73634e+00
6.51,2.75880e+00
6.52,2.75078e+00
6.53,2.74679e+00
6.54,2.75208e+00
6.55,2.75730e+00
6.56,2.76700e+00
6.57,2.89237e+00
6.58,3.17222e+00
6.59,2.90917e+00
6.60,2.80409e+00
6.61,2.81010e+00
6.62,2.96643e+00
6.63,5.27797e+00
6.64,2.26099e+01
6.65,3.96504e+01
6.66,1.19228e+01
6.67,4.02362e+00
6.68,7.93980e+00
6.69,1.13288e+01
6.70,4.60046e+00
6.71,3.42658e+00
6.72,4.74984e+00
6.73,1.14418e+01
6.74,2.78479e+01
6.75,1.17470e+01
6.76,3.24419e+00
6.77,2.90291e+00
6.78,3.00045e+00
6.79,3.08159e+00
6.80,3.01022e+00
6.81,2.95627e+00
6.82,2.92655e+00
6.83,2.92927e+00
6.84,2.93352e+00
6.85,2.94307e+00
6.86,2.94610e+00
6.87,2.94951e+00
6.88,2.95586e+00
6.89,2.96642e+00
6.90,2.99837e+00
6.91,3.00522e+00
6.92,2.98327e+00
6.93,2.98528e+00
6.94,2.99282e+00
6.95,2.99878e+00
6.96,3.00429e+00
6.97,3.01046e+00
6.98,3.01580e+00
6.99,3.01992e+00
7.00,3.02501e+00
7.01,3.03072e+00
7.02,3.03689e+00
7.03,3.04308e+00
7.04,3.02470e+00
7.05,3.03009e+00
7.06,3.03589e+00
7.07,3.04097e+00
7.08,3.04944e+00
7.09,3.25646e+00
7.10,4.90667e+00
7.11,5.38989e+00
7.12,3.47661e+00
7.13,3.08697e+00
7.14,3.09438e+00
7.15,3.14450e+00
7.16,4.04173e+00
7.17,6.57513e+00
7.18,5.42297e+00
7.19,3.43221e+00
7.20,3.14813e+00
7.21,3.12883e+00
7.22,3.15752e+00
7.23,3.17376e+00
7.24,3.16086e+00
7.25,3.18320e+00
7.26,3.17896e+00
7.27,3.20672e+00
7.28,3.21925e+00
7.29,3.19122e+00
7.30,3.48008e+00
7.31,4.02494e+00
7.32,3.53548e+00
7.33,3.20285e+00
7.34,3.18337e+00
